period,Internacoes_HW_fitted,obitos_HW_fitted,obitos_HW_fitted
2017-12,939600.9999999995,38941.312770076605,30036.62576938186
2018-01,957807.9999999984,39534.705381858286,29966.921773787144
2018-02,976014.9999999998,40124.85248681811,29626.096712306167
2018-03,939600.9999999995,40711.77050923417,29876.408419292966
2018-04,994059.6217455067,41380.150547925834,29655.056136095158
2018-05,1014032.3878371892,42821.3579407464,29629.698523722443
2018-06,1007064.3727315837,44405.93182642421,29557.127884124944
2018-07,1016449.8445215871,45987.41803834991,30365.484609183753
2018-08,1022769.4136635241,44977.368664903326,30349.46865117694
2018-09,1012345.2021180883,43179.34161090093,30307.039999377463
2018-10,995274.0057215113,41887.400161390855,30455.415000309036
2018-11,994946.0240782907,40592.612548994075,30438.49295040804
2018-12,951381.6840401327,39419.05152595451,30199.740435723823
2019-01,942544.4858011883,39998.31523998524,30783.277116815938
2019-02,983072.1950952779,40815.21807648422,30799.180865252136
2019-03,933306.6884441624,41340.56621623363,30700.35402774777
2019-04,984304.9697710936,41981.84185181406,30478.93431314295
2019-05,1002575.0264872214,43425.73502509227,30535.042264997785
2019-06,1008208.7477317664,45009.69302704942,30814.94185325578
2019-07,1015618.1898444869,46579.13562819012,31312.76820451477
